index,English,Indonesian,ParseTree,Complexity,English_normalized,Indonesian_normalized
2100,Tom did some Tai Chi in the park.,Tom melakukan Tai Chi di taman.,(S (NP (NNP Tom)) (VP (VBD did) (NP (DT some) (NNP Tai) (NNP Chi)) (PP (IN in) (NP (DT the) (NN park)))) (. .)),simple,tom did some tai chi in the park .,tom melakukan tai chi di taman .
2593,Tom doesn't like speaking in public.,Tom tidak suka berbicara di depan umum.,(S (NP (NNP Tom)) (VP (VBZ does) (RB n't) (VP (VB like) (S (VP (VBG speaking) (PP (IN in) (NP (NN public))))))) (. .)),simple,tom doesn t like speaking in public .,tom tidak suka berbicara di depan umum .
68,I am from Brazil.,Saya dari Brazil,(S (NP (PRP I)) (VP (VBP am) (PP (IN from) (NP (NNP Brazil)))) (. .)),simple,i am from brazil .,saya dari brazil
3417,Bergen is the second largest city in Norway.,Bergen adalah kota terbesar kedua di Norwegia.,(S (NP (NNP Bergen)) (VP (VBZ is) (NP (NP (DT the) (ADJP (RB second) (JJS largest)) (NN city)) (PP (IN in) (NP (NNP Norway))))) (. .)),simple,bergen is the second largest city in norway .,bergen adalah kota terbesar kedua di norwegia .
1875,I'm getting ready for the worst.,Aku bersiap untuk kemungkinan terburuk.,(S (NP (PRP I)) (VP (VBP 'm) (VP (VBG getting) (ADJP (JJ ready) (PP (IN for) (NP (DT the) (JJS worst)))))) (. .)),simple,i m getting ready for the worst .,aku bersiap untuk kemungkinan terburuk .
2832,There is a waterfall above the bridge.,Ada air terjun di atas jembatan.,(S (NP (EX There)) (VP (VBZ is) (NP (DT a) (NN waterfall)) (PP (IN above) (NP (DT the) (NN bridge)))) (. .)),simple,there is a waterfall above the bridge .,ada air terjun di atas jembatan .
3566,You're always complaining about your husband.,Kamu selalu mengeluhkan suamimu.,(S (NP (PRP You)) (VP (VBP 're) (ADVP (RB always)) (VP (VBG complaining) (PP (IN about) (NP (PRP$ your) (NN husband))))) (. .)),simple,you re always complaining about your husband .,kamu selalu mengeluhkan suamimu .
2231,She visited her husband in prison.,Dia mengunjungi suaminya di penjara.,(S (NP (PRP She)) (VP (VBD visited) (NP (PRP$ her) (NN husband)) (PP (IN in) (NP (NN prison)))) (. .)),simple,she visited her husband in prison .,dia mengunjungi suaminya di penjara .
137,Don't write in ink.,Jangan menulis dengan tinta.,(S (VP (VB Do) (RB n't) (VP (VB write) (PP (RP in) (NP (NN ink))))) (. .)),simple,don t write in ink .,jangan menulis dengan tinta .
2947,The one I bought was made in Australia.,Yang aku beli dibuat di Australia.,(S (NP (NP (DT The) (NN one)) (SBAR (S (NP (PRP I)) (VP (VBD bought))))) (VP (VBD was) (VP (VBN made) (PP (IN in) (NP (NNP Australia))))) (. .)),complex,the one i bought was made in australia .,yang aku beli dibuat di australia .
796,Tom ran out of the store.,Tom berlari keluar dari toko.,(S (NP (NNP Tom)) (VP (VBD ran) (PP (IN out) (PP (IN of) (NP (DT the) (NN store))))) (. .)),simple,tom ran out of the store .,tom berlari keluar dari toko .
2180,Here's what I found in the garage.,Inilah yang aku temukan di garasi.,(SINV (ADVP (RB Here)) (VP (VBZ 's)) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBD found) (PP (IN in) (NP (DT the) (NN garage)))))) (. .)),complex,here s what i found in the garage .,inilah yang aku temukan di garasi .
2128,UN stands for the United Nations.,PBB adalah singkatan dari Perserikatan Bangsa-Bangsa.,(S (NP (NNP UN)) (VP (VBZ stands) (PP (IN for) (NP (DT the) (NNP United) (NNPS Nations)))) (. .)),simple,un stands for the united nations .,pbb adalah singkatan dari perserikatan bangsa bangsa .
3177,The octopus is hiding in a coconut shell.,Gurita ini bersembunyi di dalam tempurung kelapa.,(S (NP (DT The) (NN octopus)) (VP (VBZ is) (VP (VBG hiding) (PP (IN in) (NP (DT a) (NN coconut) (NN shell))))) (. .)),simple,the octopus is hiding in a coconut shell .,gurita ini bersembunyi di dalam tempurung kelapa .
758,Is there an app for that?,Apakah ada aplikasi untuk itu?,(SQ (VBZ Is) (NP (EX there)) (NP (NP (DT an) (NN app)) (PP (IN for) (NP (DT that)))) (. ?)),simple,is there an app for that ?,apakah ada aplikasi untuk itu ?
541,You should stay in bed.,Kau harus tetap beristirahat.,(S (NP (PRP You)) (VP (MD should) (VP (VB stay) (PP (IN in) (NP (NN bed))))) (. .)),simple,you should stay in bed .,kau harus tetap beristirahat .
1019,I have the ace of diamonds.,Aku punya as wajik.,(S (NP (PRP I)) (VP (VBP have) (NP (NP (DT the) (NN ace)) (PP (IN of) (NP (NNS diamonds))))) (. .)),simple,i have the ace of diamonds .,aku punya as wajik .
3945,The bank came through with the loan we had requested.,Bank itu memberikan pinjaman yang kami minta.,(S (NP (DT The) (NN bank)) (VP (VBD came) (PRT (RP through)) (PP (IN with) (NP (NP (DT the) (NN loan)) (SBAR (S (NP (PRP we)) (VP (VBD had) (VP (VBN requested)))))))) (. .)),complex,the bank came through with the loan we had requested .,bank itu memberikan pinjaman yang kami minta .
3031,I'm very pleased with Tom's performance.,Saya sangat puas dengan penampilan Tom.,(S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB very) (JJ pleased) (PP (IN with) (NP (NP (NNP Tom) (POS 's)) (NN performance))))) (. .)),simple,i m very pleased with tom s performance .,saya sangat puas dengan penampilan tom .
165,She sat next to me.,Dia duduk di sampingku.,(S (NP (PRP She)) (VP (VBD sat) (ADVP (RB next) (PP (IN to) (NP (PRP me))))) (. .)),simple,she sat next to me .,dia duduk di sampingku .
248,Don't play with fire.,Jangan bermain api.,(S (VP (VBP Do) (RB n't) (VP (VB play) (PP (IN with) (NP (NN fire))))) (. .)),simple,don t play with fire .,jangan bermain api .
1331,I cut my finger with a knife.,Saya menyayat jari saya menggunakan pisau.,(S (NP (PRP I)) (VP (VBD cut) (NP (PRP$ my) (NN finger)) (PP (IN with) (NP (DT a) (NN knife)))) (. .)),simple,i cut my finger with a knife .,saya menyayat jari saya menggunakan pisau .
2017,He has come back from the office.,Dia telah kembali dari kantor.,(S (NP (PRP He)) (VP (VBZ has) (VP (VBN come) (ADVP (RB back)) (PP (IN from) (NP (DT the) (NN office))))) (. .)),simple,he has come back from the office .,dia telah kembali dari kantor .
446,He is blind in one eye.,Sebelah matanya buta.,(S (NP (PRP He)) (VP (VBZ is) (ADJP (JJ blind)) (PP (IN in) (NP (CD one) (NN eye)))) (. .)),simple,he is blind in one eye .,sebelah matanya buta .
2482,"At that time, I was still a student.","Pada waktu itu, aku masih seorang pelajar.","(S (PP (IN At) (NP (DT that) (NN time))) (, ,) (NP (PRP I)) (VP (VBD was) (ADVP (RB still)) (NP (DT a) (NN student))) (. .))",simple,at that time i was still a student .,pada waktu itu aku masih seorang pelajar .
2906,I came to this country three years ago.,Saya datang ke negara ini tiga tahun lalu.,(S (NP (PRP I)) (VP (VBD came) (PP (IN to) (NP (DT this) (NN country))) (ADVP (NP (CD three) (NNS years)) (RB ago))) (. .)),simple,i came to this country three years ago .,saya datang ke negara ini tiga tahun lalu .
1358,I'm not asking for your help.,Aku tidak meminta bantuanmu.,(S (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBG asking) (PP (IN for) (NP (PRP$ your) (NN help))))) (. .)),simple,i m not asking for your help .,aku tidak meminta bantuanmu .
2845,Tom doesn't know much about Indonesia.,Tom tidak tahu banyak tentang Indonesia.,(S (NP (NNP Tom)) (VP (VBZ does) (RB n't) (VP (VB know) (NP (NP (JJ much)) (PP (IN about) (NP (NNP Indonesia)))))) (. .)),simple,tom doesn t know much about indonesia .,tom tidak tahu banyak tentang indonesia .
2145,Who's hiding behind the curtains?,Siapa yang bersembunyi di balik gorden?,(SBARQ (WHNP (WP Who)) (SQ (VBZ 's) (VP (VBG hiding) (PP (IN behind) (NP (DT the) (NNS curtains))))) (. ?)),simple,who s hiding behind the curtains ?,siapa yang bersembunyi di balik gorden ?
1329,I bought two bottles of milk.,Saya membeli susu dua botol.,(S (NP (PRP I)) (VP (VBD bought) (NP (NP (CD two) (NNS bottles)) (PP (IN of) (NP (NN milk))))) (. .)),simple,i bought two bottles of milk .,saya membeli susu dua botol .
2853,Tom said he'd never speak to me again.,Tom berkata dia tidak akan pernah berbicara denganku lagi.,(S (NP (NNP Tom)) (VP (VBD said) (SBAR (S (NP (PRP he)) (VP (MD 'd) (ADVP (RB never)) (VP (VB speak) (PP (IN to) (NP (PRP me))) (ADVP (RB again))))))) (. .)),complex,tom said he d never speak to me again .,tom berkata dia tidak akan pernah berbicara denganku lagi .
2785,I have no idea what I'm talking about.,Aku tidak tahu apa yang aku bicarakan.,(S (NP (PRP I)) (VP (VBP have) (NP (NP (DT no) (NN idea)) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG talking) (PP (IN about)))))))) (. .)),complex,i have no idea what i m talking about .,aku tidak tahu apa yang aku bicarakan .
763,Look out for rock slides.,Hati-hatilah terhadap longsoran batu.,(S (VP (VB Look) (ADVP (RP out)) (PP (IN for) (NP (NN rock) (NNS slides)))) (. .)),simple,look out for rock slides .,hati hatilah terhadap longsoran batu .
2150,You know what they say about Tom.,Kamu tahu apa yang mereka katakan tentang Tom.,(S (NP (PRP You)) (VP (VBP know) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP say) (PP (IN about) (NP (NNP Tom))))))) (. .)),complex,you know what they say about tom .,kamu tahu apa yang mereka katakan tentang tom .
434,You must go to school.,Kamu harus berangkat sekolah.,(S (NP (PRP You)) (VP (MD must) (VP (VB go) (PP (IN to) (NP (NN school))))) (. .)),simple,you must go to school .,kamu harus berangkat sekolah .
2122,Tom took a trip around the world.,Tom pergi mengelilingi dunia.,(S (NP (NNP Tom)) (VP (VBD took) (NP (NP (DT a) (NN trip)) (PP (IN around) (NP (DT the) (NN world))))) (. .)),simple,tom took a trip around the world .,tom pergi mengelilingi dunia .
577,I have to know for sure.,Aku harus tahu dengan pasti.,(S (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB know) (PP (IN for) (ADJP (JJ sure))))))) (. .)),simple,i have to know for sure .,aku harus tahu dengan pasti .
2900,How many classes do you have on Monday?,Di hari Senin jam pelajaranmu ada berapa banyak?,(SBARQ (WHNP (WHADJP (WRB How) (JJ many)) (NNS classes)) (SQ (VBP do) (NP (PRP you)) (VP (VB have) (PP (IN on) (NP (NNP Monday))))) (. ?)),simple,how many classes do you have on monday ?,di hari senin jam pelajaranmu ada berapa banyak ?
3585,I have to do my homework instead of going out.,Aku harus mengerjakan pekerjaan rumahku dan bukannya pergi keluar.,(S (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VP (VB do) (NP (PRP$ my) (NN homework))) (PP (CONJP (RB instead) (IN of)) (VP (VBG going) (ADVP (RB out)))))))) (. .)),simple,i have to do my homework instead of going out .,aku harus mengerjakan pekerjaan rumahku dan bukannya pergi keluar .
3278,Tom ate a donut and drank a cup of coffee.,Tom makan donat dan minum secangkir kopi.,(S (NP (NNP Tom)) (VP (VP (VBD ate) (NP (DT a) (NN donut))) (CC and) (VP (VBD drank) (NP (NP (DT a) (NN cup)) (PP (IN of) (NP (NN coffee)))))) (. .)),simple,tom ate a donut and drank a cup of coffee .,tom makan donat dan minum secangkir kopi .
2966,Tom always eats dinner with his family.,Tom selalu makan malam bersama keluarganya.,(S (NP (NNP Tom)) (ADVP (RB always)) (VP (VBZ eats) (NP (NN dinner)) (PP (IN with) (NP (PRP$ his) (NN family)))) (. .)),simple,tom always eats dinner with his family .,tom selalu makan malam bersama keluarganya .
3374,The beginning of the story was interesting.,Awal cerita itu menarik.,(S (NP (NP (DT The) (NN beginning)) (PP (IN of) (NP (DT the) (NN story)))) (VP (VBD was) (ADJP (JJ interesting))) (. .)),simple,the beginning of the story was interesting .,awal cerita itu menarik .
2814,She advised him to go to the hospital.,Dia menyarankannya untuk pergi ke rumah sakit.,(S (NP (PRP She)) (VP (VBD advised) (NP (PRP him)) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (DT the) (NN hospital))))))) (. .)),simple,she advised him to go to the hospital .,dia menyarankannya untuk pergi ke rumah sakit .
4114,Tom found it difficult to make himself understood in French.,Tom mengalami kesulitan saat berkomunikasi dalam bahasa Prancis.,(S (NP (NNP Tom)) (VP (VBD found) (S (NP (NP (PRP it))) (ADJP (JJ difficult)) (S (VP (TO to) (VP (VB make) (S (NP (PRP himself)) (VP (VBN understood) (PP (IN in) (NP (NNP French)))))))))) (. .)),simple,tom found it difficult to make himself understood in french .,tom mengalami kesulitan saat berkomunikasi dalam bahasa prancis .
2448,Tom promised to keep it to himself.,Tom berjanji menyimpannya untuk dirinya sendiri.,(S (NP (NNP Tom)) (VP (VBD promised) (S (VP (TO to) (VP (VB keep) (NP (PRP it)) (PP (IN to) (NP (PRP himself))))))) (. .)),simple,tom promised to keep it to himself .,tom berjanji menyimpannya untuk dirinya sendiri .
1848,"I can't go to Australia, either.",Aku juga tidak bisa pergi ke Australia.,"(S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB go) (PP (IN to) (NP (NNP Australia))) (, ,) (ADVP (RB either)))) (. .))",simple,i can t go to australia either .,aku juga tidak bisa pergi ke australia .
762,Let's do it after school.,Mari kita melakukannya sepulang sekolah.,(S (VP (VB Let) (S (NP (PRP 's)) (VP (VB do) (NP (PRP it)) (PP (IN after) (NP (NN school)))))) (. .)),simple,let s do it after school .,mari kita melakukannya sepulang sekolah .
3037,Mary doesn't like men who look like Tom.,Mary tidak menyukai pria yang terlihat seperti Tom.,(S (NP (NNP Mary)) (VP (VBZ does) (RB n't) (VP (VB like) (NP (NP (NNS men)) (SBAR (WHNP (WP who)) (S (VP (VBP look) (PP (IN like) (NP (NNP Tom))))))))) (. .)),complex,mary doesn t like men who look like tom .,mary tidak menyukai pria yang terlihat seperti tom .
388,"Like father, like son.","Seperti ayah, seperti anak.","(FRAG (PP (IN Like) (NP (NN father))) (, ,) (PP (IN like) (NP (NN son))) (. .))",simple,like father like son .,seperti ayah seperti anak .
235,We can count on Tom.,Kami dapat mempercayai Tom.,(S (NP (PRP We)) (VP (MD can) (VP (VB count) (PP (IN on) (NP (NNP Tom))))) (. .)),simple,we can count on tom .,kami dapat mempercayai tom .
3924,Are you still planning to go to Australia next month?,Apakah kamu masih berencana pergi ke Australia bulan depan?,(SQ (VBP Are) (NP (PRP you)) (ADVP (RB still)) (VP (VBG planning) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NNP Australia))) (NP (JJ next) (NN month)))))) (. ?)),simple,are you still planning to go to australia next month ?,apakah kamu masih berencana pergi ke australia bulan depan ?
1984,Where do you want to go to next?,Kamu ingin pergi ke mana setelah ini?,(SBARQ (WHADVP (WRB Where)) (SQ (VBP do) (NP (PRP you)) (VP (VB want) (S (VP (TO to) (VP (VB go) (PP (IN to)) (ADVP (RB next))))))) (. ?)),simple,where do you want to go to next ?,kamu ingin pergi ke mana setelah ini ?
267,I felt like an idiot.,Aku merasa seperti orang bodoh.,(S (NP (PRP I)) (VP (VBD felt) (PP (IN like) (NP (DT an) (NN idiot)))) (. .)),simple,i felt like an idiot .,aku merasa seperti orang bodoh .
3377,The king imposed heavy taxes on his people.,Raja itu mengenakan pajak yang tinggi pada rakyatnya.,(S (NP (DT The) (NN king)) (VP (VBD imposed) (NP (JJ heavy) (NNS taxes)) (PP (IN on) (NP (PRP$ his) (NNS people)))) (. .)),simple,the king imposed heavy taxes on his people .,raja itu mengenakan pajak yang tinggi pada rakyatnya .
770,The cat is under the car.,Kucing itu ada di bawah mobil.,(S (NP (DT The) (NN cat)) (VP (VBZ is) (PP (IN under) (NP (DT the) (NN car)))) (. .)),simple,the cat is under the car .,kucing itu ada di bawah mobil .
2165,Everyone was dressed like a clown.,Semua orang berpakaian seperti badut.,(S (NP (NN Everyone)) (VP (VBD was) (VP (VBN dressed) (PP (IN like) (NP (DT a) (NN clown))))) (. .)),simple,everyone was dressed like a clown .,semua orang berpakaian seperti badut .
437,Are you speaking to me?,Apa kau bicara padaku?,(SQ (VBP Are) (NP (PRP you)) (VP (VBG speaking) (PP (IN to) (NP (PRP me)))) (. ?)),simple,are you speaking to me ?,apa kau bicara padaku ?
673,What should we focus on?,Kami harus fokus pada apa?,(SBARQ (WHNP (WP What)) (SQ (MD should) (NP (PRP we)) (VP (VB focus) (PP (IN on)))) (. ?)),simple,what should we focus on ?,kami harus fokus pada apa ?
249,Don't play with fire.,Meletakkan api di bubungan.,(S (VP (VBP Do) (RB n't) (VP (VB play) (PP (IN with) (NP (NN fire))))) (. .)),simple,don t play with fire .,meletakkan api di bubungan .
2201,I succeeded because of his advice.,Saya berhasil karena nasihatnya.,(S (NP (PRP I)) (VP (VBD succeeded) (PP (IN because) (IN of) (NP (PRP$ his) (NN advice)))) (. .)),simple,i succeeded because of his advice .,saya berhasil karena nasihatnya .
1574,The train arrived on schedule.,Kereta itu tiba sesuai jadwal.,(S (NP (DT The) (NN train)) (VP (VBD arrived) (PP (IN on) (NP (NN schedule)))) (. .)),simple,the train arrived on schedule .,kereta itu tiba sesuai jadwal .
3143,I heard that Tom plans to move to Boston.,Saya mendengar bahwa Tom berencana pindah ke Boston.,(S (NP (PRP I)) (VP (VBD heard) (SBAR (IN that) (S (NP (NNP Tom)) (VP (VBZ plans) (S (VP (TO to) (VP (VB move) (PP (IN to) (NP (NNP Boston)))))))))) (. .)),complex,i heard that tom plans to move to boston .,saya mendengar bahwa tom berencana pindah ke boston .
2142,When is the next train to Boston?,Kapankah kereta api selanjutnya untuk Boston?,(SBARQ (WHADVP (WRB When)) (SQ (VBZ is) (NP (NP (DT the) (JJ next) (NN train)) (PP (IN to) (NP (NNP Boston))))) (. ?)),simple,when is the next train to boston ?,kapankah kereta api selanjutnya untuk boston ?
3419,Do you know anything about fixing computers?,Kamu tahu sesuatu tentang memperbaiki komputer?,(SQ (VBP Do) (NP (PRP you)) (VP (VB know) (NP (NP (NN anything)) (PP (IN about) (S (VP (VBG fixing) (NP (NNS computers))))))) (. ?)),simple,do you know anything about fixing computers ?,kamu tahu sesuatu tentang memperbaiki komputer ?
2081,Tell me more about what happened.,Beritahu aku apa lagi yang terjadi.,(S (VP (VB Tell) (NP (PRP me)) (NP (NP (JJR more)) (PP (IN about) (SBAR (WHNP (WP what)) (S (VP (VBD happened))))))) (. .)),complex,tell me more about what happened .,beritahu aku apa lagi yang terjadi .
4246,"Plenty of opportunities will present themselves, if only you are awake to them.","Banyak kesempatan akan muncul dengan sendirinya, bilamana kau mau memperhatikannya.","(S (NP (NP (NN Plenty)) (PP (IN of) (NP (NNS opportunities)))) (VP (MD will) (VP (VB present) (NP (PRP themselves)) (, ,) (SBAR (IN if) (S (ADVP (RB only)) (NP (PRP you)) (VP (VBP are) (ADJP (JJ awake) (PP (IN to) (NP (PRP them))))))))) (. .))",complex,plenty of opportunities will present themselves if only you are awake to them .,banyak kesempatan akan muncul dengan sendirinya bilamana kau mau memperhatikannya .
3866,"Speaking of last night, what time did you get home?","Omong-omong soal kemarin malam, kamu sampai di rumah jam berapa?","(S (S (VP (VBG Speaking) (PP (IN of) (NP (JJ last) (NN night))))) (, ,) (WHNP (WP what) (NN time)) (SQ (VBD did) (NP (PRP you)) (VP (VB get) (ADVP (RB home)))) (. ?))",simple,speaking of last night what time did you get home ?,omong omong soal kemarin malam kamu sampai di rumah jam berapa ?
880,I'd like to know for sure.,Aku ingin tahu secara pasti.,(S (NP (PRP I)) (VP (MD 'd) (VP (VB like) (S (VP (TO to) (VP (VB know) (PP (IN for) (ADJP (JJ sure)))))))) (. .)),simple,i d like to know for sure .,aku ingin tahu secara pasti .
448,He was going to school.,Dia baru akan berangkat menuju ke sekolah.,(S (NP (PRP He)) (VP (VBD was) (VP (VBG going) (PP (IN to) (NP (NN school))))) (. .)),simple,he was going to school .,dia baru akan berangkat menuju ke sekolah .
1469,Don't drink coffee before bed.,Jangan minum kopi sebelum tidur.,(S (VP (VBP Do) (RB n't) (VP (VB drink) (NP (NN coffee)) (PP (IN before) (NP (NN bed))))) (. .)),simple,don t drink coffee before bed .,jangan minum kopi sebelum tidur .
716,Help yourself to a drink.,Silakan dinikmati minumannya.,(S (VP (VB Help) (NP (PRP yourself)) (PP (IN to) (NP (DT a) (NN drink)))) (. .)),simple,help yourself to a drink .,silakan dinikmati minumannya .
3596,I'll help you within the limits of my ability.,Aku akan membantumu sebisaku.,(S (NP (PRP I)) (VP (MD 'll) (VP (VB help) (NP (PRP you)) (PP (IN within) (NP (NP (DT the) (NNS limits)) (PP (IN of) (NP (PRP$ my) (NN ability))))))) (. .)),simple,i ll help you within the limits of my ability .,aku akan membantumu sebisaku .
3939,Most of Dr. Jackson's patients are over 60 years old.,Sebagian besar pasien dr. Jackson berusia di atas 60 tahun.,(S (NP (NP (JJS Most)) (PP (IN of) (NP (NP (NNP Dr.) (NNP Jackson) (POS 's)) (NNS patients)))) (VP (VBP are) (ADJP (NP (QP (RB over) (CD 60)) (NNS years)) (JJ old))) (. .)),simple,most of dr . jackson s patients are over years old .,sebagian besar pasien dr . jackson berusia di atas tahun .
2048,I'll come back again after lunch.,Aku akan kembali setelah makan siang.,(S (NP (PRP I)) (VP (MD 'll) (VP (VB come) (ADVP (RB back)) (ADVP (RB again)) (PP (IN after) (NP (NN lunch))))) (. .)),simple,i ll come back again after lunch .,aku akan kembali setelah makan siang .
1901,She is looking for her car keys.,Dia sedang mencari kunci mobilnya.,(S (NP (PRP She)) (VP (VBZ is) (VP (VBG looking) (PP (IN for) (NP (PRP$ her) (NN car) (NNS keys))))) (. .)),simple,she is looking for her car keys .,dia sedang mencari kunci mobilnya .
4171,"There are bananas, apples, pears and oranges in the fruit basket.","Ada pisang, apel, pir, dan jeruk di dalam keranjang buah.","(S (NP (EX There)) (VP (VBP are) (NP (NNS bananas) (, ,) (NNS apples) (, ,) (NNS pears) (CC and) (NNS oranges)) (PP (IN in) (NP (DT the) (NN fruit) (NN basket)))) (. .))",simple,there are bananas apples pears and oranges in the fruit basket .,ada pisang apel pir dan jeruk di dalam keranjang buah .
3149,I'm fed up with everything and everybody.,Aku muak dengan semua hal dan semua orang.,(S (NP (PRP I)) (VP (VBP 'm) (VP (VBN fed) (PRT (RP up)) (PP (IN with) (NP (NP (NN everything)) (CC and) (NP (NN everybody)))))) (. .)),simple,i m fed up with everything and everybody .,aku muak dengan semua hal dan semua orang .
3156,It's on the third floor of this building.,Itu ada di lantai tiga bangunan ini.,(S (NP (PRP It)) (VP (VBZ 's) (PP (IN on) (NP (NP (DT the) (JJ third) (NN floor)) (PP (IN of) (NP (DT this) (NN building)))))) (. .)),simple,it s on the third floor of this building .,itu ada di lantai tiga bangunan ini .
1168,I wrote a letter in English.,Saya menulis surat dalam bahasa Inggris.,(S (NP (PRP I)) (VP (VBD wrote) (NP (DT a) (NN letter)) (PP (IN in) (NP (NNP English)))) (. .)),simple,i wrote a letter in english .,saya menulis surat dalam bahasa inggris .
82,She is mad at me.,Dia marah padaku.,(S (NP (PRP She)) (VP (VBZ is) (ADJP (JJ mad) (PP (IN at) (NP (PRP me))))) (. .)),simple,she is mad at me .,dia marah padaku .
3630,Tom has been with our company for three years.,Tom telah bekerja di perusahaan kami selama tiga tahun.,(S (NP (NNP Tom)) (VP (VBZ has) (VP (VBN been) (PP (IN with) (NP (PRP$ our) (NN company))) (PP (IN for) (NP (CD three) (NNS years))))) (. .)),simple,tom has been with our company for three years .,tom telah bekerja di perusahaan kami selama tiga tahun .
2724,Tom isn't used to speaking in public.,Tom tidak terbiasa berbicara di depan orang banyak.,(S (NP (NNP Tom)) (VP (VBZ is) (RB n't) (VP (VBN used) (PP (IN to) (S (VP (VBG speaking) (PP (IN in) (NP (NN public)))))))) (. .)),simple,tom isn t used to speaking in public .,tom tidak terbiasa berbicara di depan orang banyak .
3044,Remind me that the meeting is on Monday.,Ingatkan aku kalau rapatnya diadakan hari Senin.,(S (VP (VB Remind) (NP (PRP me)) (SBAR (IN that) (S (NP (DT the) (NN meeting)) (VP (VBZ is) (PP (IN on) (NP (NNP Monday))))))) (. .)),complex,remind me that the meeting is on monday .,ingatkan aku kalau rapatnya diadakan hari senin .
3094,What else do you need to know about Tom?,Apa lagi yang perlu kalian ketahui tentang Tom?,(SBARQ (WHNP (WP What) (RB else)) (SQ (VBP do) (NP (PRP you)) (VP (VB need) (S (VP (TO to) (VP (VB know) (PP (IN about) (NP (NNP Tom)))))))) (. ?)),simple,what else do you need to know about tom ?,apa lagi yang perlu kalian ketahui tentang tom ?
1460,A rose has thorns on its stem.,Bunga mawar memiliki duri pada batangnya.,(S (NP (DT A) (NN rose)) (VP (VBZ has) (NP (NP (NNS thorns)) (PP (IN on) (NP (PRP$ its) (NN stem))))) (. .)),simple,a rose has thorns on its stem .,bunga mawar memiliki duri pada batangnya .
2818,She was brought up by her grandmother.,Dia dibesarkan oleh neneknya.,(S (NP (PRP She)) (VP (VBD was) (VP (VBN brought) (PRT (RP up)) (PP (IN by) (NP (PRP$ her) (NN grandmother))))) (. .)),simple,she was brought up by her grandmother .,dia dibesarkan oleh neneknya .
1893,Nobody cares about our problems.,Tidak ada yang peduli terhadap masalah kita.,(S (NP (NN Nobody)) (VP (VBZ cares) (PP (IN about) (NP (PRP$ our) (NNS problems)))) (. .)),simple,nobody cares about our problems .,tidak ada yang peduli terhadap masalah kita .
1668,I am pleased with my new house.,Saya merasa senang dengan rumah baru saya.,(S (NP (PRP I)) (VP (VBP am) (ADJP (VBN pleased) (PP (IN with) (NP (PRP$ my) (JJ new) (NN house))))) (. .)),simple,i am pleased with my new house .,saya merasa senang dengan rumah baru saya .
2756,"""Good morning,"" said Tom with a smile.","""Selamat pagi,"" kata Tom sambil tersenyum.","(SINV (`` "") (NP (JJ Good) (NN morning)) (, ,) ('' "") (VP (VBD said)) (NP (NNP Tom)) (PP (IN with) (NP (DT a) (NN smile))) (. .))",simple, good morning said tom with a smile ., selamat pagi kata tom sambil tersenyum .
2000,Almost all of the dogs are alive.,Hampir semua anjingnya hidup.,(S (NP (NP (QP (RB Almost) (DT all))) (PP (IN of) (NP (DT the) (NNS dogs)))) (VP (VBP are) (ADJP (JJ alive))) (. .)),simple,almost all of the dogs are alive .,hampir semua anjingnya hidup .
475,I'm proud of this team.,Aku bangga dengan tim ini.,(S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ proud) (PP (IN of) (NP (DT this) (NN team))))) (. .)),simple,i m proud of this team .,aku bangga dengan tim ini .
517,Tom is alone with Mary.,Tom sedang berduaan dengan Mary.,(S (NP (NNP Tom)) (VP (VBZ is) (ADJP (JJ alone)) (PP (IN with) (NP (NNP Mary)))) (. .)),simple,tom is alone with mary .,tom sedang berduaan dengan mary .
3904,I want you to tell me everything you know about Tom.,Saya ingin kamu memberitahu saya semua yang kamu tahu soal Tom.,(S (NP (PRP I)) (VP (VBP want) (S (NP (PRP you)) (VP (TO to) (VP (VB tell) (NP (PRP me)) (NP (NP (NN everything)) (SBAR (S (NP (PRP you)) (VP (VBP know) (PP (IN about) (NP (NNP Tom))))))))))) (. .)),complex,i want you to tell me everything you know about tom .,saya ingin kamu memberitahu saya semua yang kamu tahu soal tom .
404,There's a lot of snow.,Ada banyak salju.,(S (NP (EX There)) (VP (VBZ 's) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN snow))))) (. .)),simple,there s a lot of snow .,ada banyak salju .
384,It won't happen to me.,Hal itu tidak akan terjadi pada diriku.,(S (NP (PRP It)) (VP (MD wo) (RB n't) (VP (VB happen) (PP (IN to) (NP (PRP me))))) (. .)),simple,it won t happen to me .,hal itu tidak akan terjadi pada diriku .
